problem,seed,method,stress,n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,dp_calls,dp_actions,dp_fallbacks,dp_expanded,dp_budget_hits,aux_calls,aux_positive,joint_steps,runtime_s,certificate,shortcuts,shortcut_saved_m
4,2310082,56,0,11,11,5261.121259,478.2837508182,19310.60628971,225,210,3,2,278,30,2,84814,0,0,0,53,0.7342498,convex_mesh_per_channel,0,0
4,2310083,56,0,10,10,6144.037901,614.4037901,21650.18951569,291,279,10,1,132,31,1,40146,0,0,0,53,0.3847553,convex_mesh_per_channel,0,0
4,2310084,56,0,12,12,5829.948263,485.8290219167,21154.74130611,254,242,9,1,209,40,1,57571,0,0,0,62,0.5931533,convex_mesh_per_channel,0,0
4,2310085,56,0,16,16,5801.368552,362.5855345,23021.84275768,186,172,5,3,326,43,3,80992,0,0,0,67,0.7994627,upper_bound_16,0,0
4,2310086,56,0,16,16,5670.698576,354.418661,21383.49290811,200,185,43,5,335,56,5,91536,0,0,0,78,0.8928634,upper_bound_16,0,0
4,2310087,56,0,14,14,5921.31354,422.9509671429,21266.5677046,267,257,2,2,256,43,2,70837,0,0,0,66,0.7776084,convex_mesh_per_channel,0,0
4,2310088,56,0,12,12,5719.222401,476.60186675,20441.11200387,257,244,14,4,210,30,4,57891,0,0,0,55,0.5681023,convex_mesh_per_channel,0,0
4,2310089,56,0,14,14,5561.976843,397.2840602143,21124.88421989,207,196,12,6,272,44,6,78063,0,0,0,71,0.7832468,convex_mesh_per_channel,0,0
4,2310090,56,0,11,11,5591.320423,508.3018566364,19906.60212499,258,244,7,3,174,31,3,40733,0,0,0,55,0.4231278,convex_mesh_per_channel,0,0
4,2310091,56,0,13,13,5597.823346,430.6017958462,21154.11673463,218,206,2,5,246,31,5,69612,0,0,0,57,0.6970515,convex_mesh_per_channel,0,0
4,2310092,56,0,12,12,5608.982738,467.4152281667,20284.91369066,250,233,3,3,222,33,3,66812,0,0,0,57,0.6481941,convex_mesh_per_channel,0,0
4,2310093,56,0,10,10,6164.527337,616.4527337,22242.63669558,279,262,3,0,163,32,0,39027,0,0,0,53,0.4026116,convex_mesh_per_channel,0,0
4,2310094,56,0,11,11,6096.697534,554.2452303636,21603.48767175,283,270,12,5,142,29,5,34446,0,0,0,55,0.3648032,convex_mesh_per_channel,0,0
4,2310095,56,0,10,10,5934.390209,593.4390209,21096.9510395,277,262,6,2,141,30,2,33175,0,0,0,53,0.3610488,convex_mesh_per_channel,0,0
4,2310096,56,0,14,14,5615.383799,401.0988427857,21911.91900169,189,176,14,5,357,41,5,91990,0,0,0,67,0.9338495,convex_mesh_per_channel,0,0
4,2310097,56,0,14,14,5610.259449,400.7328177857,21256.29725339,215,202,4,2,294,45,2,82386,0,0,0,68,0.7840671,convex_mesh_per_channel,0,0
4,2310098,56,0,11,11,5861.02884,532.8208036364,21450.14418419,250,236,10,5,202,30,5,49356,0,0,0,56,0.5040199,convex_mesh_per_channel,0,0
4,2310099,56,0,10,10,6343.450416,634.3450416,21732.2520744,325,313,3,1,106,28,1,24895,0,0,0,50,0.2854468,convex_mesh_per_channel,0,0
4,2310100,56,0,13,13,5870.412552,451.5701963077,21617.06276658,243,234,11,4,156,34,4,36321,0,0,0,59,0.3949537,convex_mesh_per_channel,0,0
