problem,seed,method,stress,n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,dp_calls,dp_actions,dp_fallbacks,dp_expanded,dp_budget_hits,aux_calls,aux_positive,joint_steps,runtime_s,certificate,shortcuts,shortcut_saved_m
3,2310112,78,0,14,14,3124.125945,223.1518532143,11860.62973306,112,101,7,0,193,21,3,35814,0,32,29,31,0.1674104,seven_point_per_channel,7,7.617803156869
3,2310113,78,0,14,14,3112.844864,222.3460617143,11679.22431665,116,106,7,0,144,23,4,31678,0,22,22,34,0.1389539,seven_point_per_channel,5,11.75783826764
3,2310114,78,0,12,12,2869.435619,239.1196349167,10737.17810103,111,104,1,0,86,15,1,17038,0,26,20,23,0.0777729,seven_point_per_channel,2,8.652025289553
3,2310115,78,0,15,15,3043.223539,202.8815692667,11636.11769406,105,95,7,0,137,20,4,29451,0,39,38,31,0.1288218,seven_point_per_channel,5,26.13794955956
3,2310116,78,0,15,15,2936.578402,195.7718934667,10987.89200707,109,104,5,0,120,22,2,23820,0,24,24,31,0.1034482,seven_point_per_channel,7,16.58102898518
3,2310117,78,0,15,15,3197.044036,213.1362690667,12435.2201757,105,98,4,0,127,24,2,24739,0,23,22,33,0.1130104,seven_point_per_channel,5,6.71420901055
3,2310118,78,0,16,16,3311.46883,206.966801875,13192.34414911,99,89,3,0,213,25,2,38435,0,31,30,33,0.1792804,upper_bound_16,3,1.818989403546e-12
3,2310119,78,0,16,16,3151.48248,196.967655,12157.41240531,106,95,5,0,173,22,4,33039,0,24,23,33,0.143387,upper_bound_16,6,10.29789780713
3,2310120,78,0,13,13,3371.153918,259.3195321538,13115.76958606,113,106,4,0,86,20,5,17345,0,16,16,32,0.0746946,seven_point_per_channel,2,0
3,2310121,78,0,10,10,2794.804024,279.4804024,10114.02012133,120,110,4,0,56,11,4,11426,0,20,20,22,0.0482213,seven_point_per_channel,5,36.12898129095
3,2310122,78,0,11,11,2933.055162,266.6413783636,11065.27581436,111,104,2,0,103,14,2,21232,0,14,14,23,0.0920536,seven_point_per_channel,5,2.450339636986
3,2310123,78,0,16,16,2657.711302,166.106956375,10493.55651723,78,74,5,0,181,23,2,38733,0,27,26,29,0.164804,upper_bound_16,4,0.05710919789635
3,2310124,78,0,10,10,2762.333545,276.2333545,10171.66772922,113,104,3,0,78,16,2,16312,0,14,14,25,0.0693137,seven_point_per_channel,3,1.420262264393
3,2310125,78,0,12,12,2866.489371,238.87411425,10712.44685394,109,104,5,0,110,17,2,24662,0,22,21,26,0.1012631,seven_point_per_channel,5,23.29899696204
