时间段,购电_kWh,充电_kWh,放电_kWh,时段初SOC_kWh,时段末SOC_kWh
21:50-22:00,1393.7903166666667,833.3333333333334,0.0,1200.0000000000064,1950.0000000000064
22:00-22:10,1384.8989000000001,833.3333333333334,0.0,1950.0000000000064,2700.0000000000064
22:10-22:20,568.82605,0.0,0.0,2700.0000000000064,2700.0000000000064
22:20-22:30,1396.98855,833.3333333333334,0.0,2700.0000000000064,3450.0000000000064
22:30-22:40,1397.7598666666668,833.3333333333334,0.0,3450.0000000000064,4200.000000000006
22:40-22:50,566.7474333333333,0.0,0.0,4200.000000000006,4200.000000000006
22:50-23:00,1399.8737666666666,833.3333333333334,0.0,4200.000000000006,4950.000000000006
23:00-23:10,567.83015,0.0,0.0,4950.000000000006,4950.000000000006
23:10-23:20,569.3586333333334,0.0,0.0,4950.000000000006,4950.000000000006
23:20-23:30,1403.6635166666667,833.3333333333334,0.0,4950.000000000006,5700.000000000006
23:30-23:40,904.9487166666668,333.3333333333333,0.0,5700.000000000006,6000.000000000006
23:40-23:50,573.1768333333333,0.0,0.0,6000.000000000006,6000.000000000006
23:50-24:00,574.1209833333334,0.0,0.0,6000.000000000006,6000.000000000006
