problem,seed,method,n,directional_n,time_s,avg_s,move_m,measures,switches,miss,scans,discovery_measures,discovery_switches,Jsum,local_measures,local_switches,discovery_same_channel_savings,cpu_s
4,2610176,78,14,13,6398.936301,457.066878642857,24004.6814858459,250,236,14,21,224,213,98,26,23,11,1.056212417
4,2610177,78,15,3,5362.773876,357.5182584,20698.8693944619,189,179,8,21,159,150,54,30,29,9,1.86721925
4,2610178,78,13,3,5632.660567,433.281582076923,20783.302817081,236,225,2,21,212,201,65,24,24,11,0.684707334
4,2610179,78,15,1,5363.108341,357.540556066667,20520.541733773,194,184,10,21,167,157,62,27,27,10,2.001401167
4,2610180,78,13,9,5908.353846,454.488757384615,21446.7692551602,248,239,25,21,222,214,75,26,25,8,1.298628917
4,2610181,78,14,13,6121.899762,437.278554428571,23479.4988102296,227,218,1,21,204,196,78,23,22,8,0.766674125
4,2610182,78,10,4,5899.169926,589.9169926,20600.8496415838,288,274,5,21,270,257,60,18,17,13,0.767799875
4,2610183,78,14,8,5419.247585,387.089113214286,20751.2379269209,198,182,9,21,170,156,44,28,26,14,1.365492583
4,2610184,78,13,4,5877.254525,452.096501923077,21976.2726162581,224,210,29,21,205,192,58,19,18,13,0.978565875
4,2610185,78,12,5,5507.131181,458.927598416667,20120.6559125332,236,222,7,21,213,200,45,23,22,13,1.354684917
4,2610186,78,12,2,5768.60393,480.716994166667,21453.019652748,237,224,3,21,214,201,46,23,23,13,1.466978292
4,2610187,78,11,2,5566.464826,506.042256909091,20372.3241375133,241,226,2,21,219,204,30,22,22,15,0.97458125
4,2610188,78,10,9,6157.094953,615.7094953,21435.4747716034,305,289,2,21,285,275,75,20,14,10,0.473201667
4,2610189,78,10,5,5832.711208,583.2711208,20683.5560408612,270,257,13,21,258,245,48,12,12,13,0.755150375
4,2610190,78,16,13,6724.817308,420.30108175,25089.0865551164,264,256,17,21,235,231,151,29,25,4,1.191334125
4,2610191,78,12,10,5866.149151,488.845762583333,20985.7457549639,265,251,11,21,242,231,74,23,20,11,0.798815625
4,2610192,78,10,8,5994.213288,599.4213288,21271.0664479393,277,260,15,21,254,240,44,23,20,14,1.073957917
4,2610193,78,13,4,5900.375359,453.875027615385,21566.876782463,254,240,4,21,228,217,81,26,23,11,1.168442375
4,2610194,78,13,1,5252.444562,404.034197076923,19577.2228177304,213,201,2,21,189,177,42,24,24,12,1.609581333
4,2610195,78,14,8,5645.496294,403.249735285714,20717.4814927372,235,224,11,21,210,203,84,25,21,7,0.82097825
4,2610196,78,16,15,6085.03075,380.314421875,22990.1537437593,228,219,16,20,201,195,121,27,24,6,0.705761041
4,2610197,78,14,10,5784.80814,413.200581428571,21519.0407097163,228,217,18,21,205,195,79,23,22,10,0.854424625
4,2610198,78,13,9,5594.602065,430.354005,20618.0103285402,230,217,13,21,207,196,60,23,21,11,1.156406708
4,2610199,78,10,5,5735.004014,573.5004014,19880.0200687076,283,270,8,21,267,255,57,16,15,12,0.34049325
4,2610200,78,14,8,5415.541543,386.824395928571,20177.7077080313,214,198,14,21,190,176,64,24,22,14,1.49660825
