problem,seed,method,n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,plans,exact_plans,local_plans,nonlocal_plans,max_route_gap_m,mean_route_gap_m,weighted_gap_ratio,max_relative_gap,skipped,runtime_s,certificate
3,510023,0,10,10,3310.617135,331.0617135,13028.08568283,110,99,2,1,0,0,0,0,0,0,0,0,0,0.0005335,seven_point_per_channel
3,510023,1,10,10,3461.838877,346.1838877,13824.1943933,109,99,1,1,0,0,0,0,0,0,0,0,0,0.0005089,seven_point_per_channel
3,510023,2,10,10,3662.072354,366.2072354,14825.36177473,109,99,1,1,0,0,0,0,0,0,0,0,0,0.0005025,seven_point_per_channel
3,510023,3,10,10,3310.617135,331.0617135,13028.08568283,110,99,2,1,0,0,0,0,0,0,0,0,0,0.0005085,seven_point_per_channel
3,510023,4,10,10,3310.617135,331.0617135,13028.08568283,110,99,2,1,17,17,17,0,0,0,0,0,0,0.0031629,seven_point_per_channel
3,510023,5,10,10,3044.949841,304.4949841,11834.74921036,105,100,1,0,17,17,17,0,0,0,0,0,0,0.0037882,seven_point_per_channel
3,510024,0,14,14,3805.862899,271.8473499286,15754.31451275,98,92,1,0,0,0,0,0,0,0,0,0,0,0.0009049,seven_point_per_channel
3,510024,1,14,14,4044.024612,288.8589008571,16945.1230813,98,92,1,0,0,0,0,0,0,0,0,0,0,0.0008526,seven_point_per_channel
3,510024,2,14,14,4219.97696,301.4269257143,17839.88481591,98,92,0,0,0,0,0,0,0,0,0,0,0,0.000843,seven_point_per_channel
3,510024,3,14,14,3805.862899,271.8473499286,15754.31451275,98,92,1,0,0,0,0,0,0,0,0,0,0,0.0008284,seven_point_per_channel
3,510024,4,14,14,3805.862899,271.8473499286,15754.31451275,98,92,1,0,21,20,21,0,419.1363416566,19.95887341222,0.004388686873371,0.05286238301275,0,0.0047739,seven_point_per_channel
3,510024,5,14,14,3619.969336,258.5692382857,15114.84668955,89,82,0,0,21,16,21,0,481.28337998,74.54892834411,0.01348011427794,0.05439169595815,0,0.0055025,seven_point_per_channel
3,510025,0,10,10,3200.886568,320.0886568,12544.4328338,107,101,2,0,0,0,0,0,0,0,0,0,0,0.0005771,seven_point_per_channel
3,510025,1,10,10,3383.151778,338.3151778,13440.75888889,107,101,3,0,0,0,0,0,0,0,0,0,0,0.0005875,seven_point_per_channel
3,510025,2,10,10,3473.40343,347.340343,13972.0171519,105,101,1,0,0,0,0,0,0,0,0,0,0,0.000544,seven_point_per_channel
3,510025,3,10,10,3200.886568,320.0886568,12544.4328338,107,101,2,0,0,0,0,0,0,0,0,0,0,0.0005499,seven_point_per_channel
3,510025,4,10,10,3200.886568,320.0886568,12544.4328338,107,101,2,0,17,16,17,0,567.4632051049,33.38018853558,0.007622923095283,0.07231539973872,0,0.0025559,seven_point_per_channel
3,510025,5,10,10,2862.019948,286.2019948,11170.09973956,97,93,0,0,17,15,17,0,423.7555980296,48.38429598842,0.008769681792858,0.05018233496933,0,0.004382,seven_point_per_channel
3,510026,0,14,14,4349.070402,310.6478858571,18430.35201888,99,95,1,0,0,0,0,0,0,0,0,0,0,0.0007215,seven_point_per_channel
3,510026,1,14,14,4731.430161,337.9592972143,20342.15082995,99,95,1,0,0,0,0,0,0,0,0,0,0,0.0007051,seven_point_per_channel
3,510026,2,14,14,4951.155704,353.6539788571,21440.7785417,99,95,1,0,0,0,0,0,0,0,0,0,0,0.0007023,seven_point_per_channel
3,510026,3,14,14,4349.070402,310.6478858571,18430.35201888,99,95,1,0,0,0,0,0,0,0,0,0,0,0.0006969,seven_point_per_channel
3,510026,4,14,14,4374.053978,312.432427,18575.26991008,99,94,0,0,21,20,21,0,1033.60487924,49.21927996379,0.01008433504065,0.1253228790359,0,0.0044828,seven_point_per_channel
3,510026,5,14,14,4503.901744,321.7072674286,19139.50872955,102,93,1,0,21,20,21,0,943.9789959397,44.95138075903,0.008753947374961,0.09693939920711,0,0.0044263,seven_point_per_channel
3,510027,0,14,14,3831.089823,273.6492730714,15970.44911641,95,89,1,0,0,0,0,0,0,0,0,0,0,0.0008251,seven_point_per_channel
3,510027,1,14,14,4051.748415,289.4106010714,17088.74207217,95,89,0,0,0,0,0,0,0,0,0,0,0,0.0008007,seven_point_per_channel
3,510027,2,14,14,4257.104471,304.0788907857,18125.52235877,94,89,1,0,0,0,0,0,0,0,0,0,0,0.0007893,seven_point_per_channel
3,510027,3,14,14,3831.089823,273.6492730714,15970.44911641,95,89,1,0,0,0,0,0,0,0,0,0,0,0.0007977,seven_point_per_channel
3,510027,4,14,14,3831.089823,273.6492730714,15970.44911641,95,89,1,0,21,19,21,0,784.5653469159,62.89618510319,0.01479024467165,0.09919908068977,0,0.0046526,seven_point_per_channel
3,510027,5,14,14,3997.978393,285.5698852143,16704.89196141,99,89,1,2,21,18,21,0,709.8319140142,88.5963741992,0.01714317998965,0.07723464974149,0,0.0037908,seven_point_per_channel
3,510028,0,16,16,4240.298024,265.0186265,18126.49012336,90,85,0,0,0,0,0,0,0,0,0,0,0,0.0010649,upper_bound_16
3,510028,1,16,16,4550.166048,284.385378,19660.83025069,90,85,1,0,0,0,0,0,0,0,0,0,0,0.0010627,upper_bound_16
3,510028,2,16,16,4809.071722,300.566982625,20955.3586167,90,85,1,0,0,0,0,0,0,0,0,0,0,0.0010533,upper_bound_16
3,510028,3,16,16,4240.298024,265.0186265,18126.49012336,90,85,0,0,0,0,0,0,0,0,0,0,0,0.0010298,upper_bound_16
3,510028,4,16,16,4240.298024,265.0186265,18126.49012336,90,85,0,0,23,19,23,0,941.3649572541,111.6011032541,0.02609398856013,0.1183495339273,0,0.0043573,upper_bound_16
3,510028,5,16,16,3883.877846,242.742365375,16344.38923323,90,85,0,0,23,19,23,0,992.0833047366,122.6852227688,0.02336653487376,0.1119757662979,0,0.0042773,upper_bound_16
3,510029,0,16,16,4390.605101,274.4128188125,18823.02550328,93,81,0,0,0,0,0,0,0,0,0,0,0,0.0013358,upper_bound_16
3,510029,1,16,16,4683.355462,292.709716375,20311.77731558,92,81,0,0,0,0,0,0,0,0,0,0,0,0.0013535,upper_bound_16
3,510029,2,16,16,4977.683688,311.1052305,21743.41845253,93,81,1,0,0,0,0,0,0,0,0,0,0,0.0014323,upper_bound_16
3,510029,3,16,16,4342.064235,271.3790146875,18725.3211709,88,77,0,0,0,0,0,0,0,0,0,0,1,0.0013882,upper_bound_16
3,510029,4,16,16,4342.064235,271.3790146875,18725.3211709,88,77,0,0,22,16,22,0,961.1956125956,162.2707834724,0.0342763169493,0.1175134196196,1,0.0058587,upper_bound_16
