problem,seed,method,n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,plans,exact_plans,local_plans,nonlocal_plans,max_route_gap_m,mean_route_gap_m,skipped,runtime_s,certificate
3,17,3,14,14,3540.180267,252.8700190714,14415.90133396,99,92,0,0,0,0,0,0,0,0,0,0.0006706,seven_point_per_channel
3,17,4,14,14,3892.490144,278.0350102857,16232.45072499,97,88,1,0,21,18,21,0,386.7373366904,20.88735014443,0,0.0044994,seven_point_per_channel
3,17,5,14,14,4074.105879,291.0075627857,17355.52939801,90,83,0,0,21,15,21,0,974.8389999734,174.7612975022,0,0.0057184,seven_point_per_channel
3,18,0,10,10,3446.287611,344.6287611,13661.43805053,112,104,0,0,0,0,0,0,0,0,0,0.0004378,seven_point_per_channel
3,18,1,10,10,3656.319409,365.6319409,14711.5970423,112,104,0,1,0,0,0,0,0,0,0,0.0004138,seven_point_per_channel
3,18,2,10,10,3814.769787,381.4769787,15503.84893625,112,104,0,0,0,0,0,0,0,0,0,0.0004475,seven_point_per_channel
3,18,3,10,10,3446.287611,344.6287611,13661.43805053,112,104,0,0,0,0,0,0,0,0,0,0.0004683,seven_point_per_channel
3,18,4,10,10,3446.287611,344.6287611,13661.43805053,112,104,0,0,17,17,17,0,0,0,0,0.0013863,seven_point_per_channel
3,18,5,10,10,3373.485474,337.3485474,13002.42736855,122,113,0,1,17,17,17,0,0,0,0,0.0007439,seven_point_per_channel
3,19,0,13,13,3810.199063,293.0922356154,15825.99532476,98,90,0,0,0,0,0,0,0,0,0,0.0009453,seven_point_per_channel
3,19,1,13,13,4104.793647,315.7533574615,17348.9682471,96,90,0,0,0,0,0,0,0,0,0,0.0009053,seven_point_per_channel
3,19,2,13,13,4253.201007,327.1693082308,18041.00505321,98,90,0,0,0,0,0,0,0,0,0,0.0008851,seven_point_per_channel
3,19,3,13,13,3810.199063,293.0922356154,15825.99532476,98,90,0,0,0,0,0,0,0,0,0,0.0008916,seven_point_per_channel
3,19,4,13,13,3810.199063,293.0922356154,15825.99532476,98,90,0,0,20,16,20,0,872.9124199941,107.8517378607,0,0.0036607,seven_point_per_channel
3,19,5,13,13,3768.421273,289.8785594615,15732.10636776,94,87,0,0,20,16,20,0,407.0161152246,60.69353135335,0,0.0049413,seven_point_per_channel
3,20,0,10,10,3096.554494,309.6554494,12192.7724661,102,98,0,0,0,0,0,0,0,0,0,0.0005474,seven_point_per_channel
3,20,1,10,10,3309.819234,330.9819234,13284.09617262,101,98,0,0,0,0,0,0,0,0,0,0.0005193,seven_point_per_channel
3,20,2,10,10,3486.416175,348.6416175,14167.08087393,101,98,0,0,0,0,0,0,0,0,0,0.0005219,seven_point_per_channel
3,20,3,10,10,3096.554494,309.6554494,12192.7724661,102,98,0,0,0,0,0,0,0,0,0,0.0005308,seven_point_per_channel
3,20,4,10,10,3096.554494,309.6554494,12192.7724661,102,98,0,0,17,17,17,0,0,0,0,0.0045092,seven_point_per_channel
3,20,5,10,10,3302.162751,330.2162751,13195.81375746,103,98,0,0,17,17,17,0,0,0,0,0.0041117,seven_point_per_channel
3,21,0,10,10,3446.268576,344.6268576,13696.34287409,110,104,1,0,0,0,0,0,0,0,0,0.0004219,seven_point_per_channel
3,21,1,10,10,3664.751775,366.4751775,14788.75888357,110,104,1,0,0,0,0,0,0,0,0,0.000412,seven_point_per_channel
3,21,2,10,10,3902.153791,390.2153791,15975.76896129,110,104,1,0,0,0,0,0,0,0,0,0.0004166,seven_point_per_channel
3,21,3,10,10,3446.268576,344.6268576,13696.34287409,110,104,1,0,0,0,0,0,0,0,0,0.0004012,seven_point_per_channel
3,21,4,10,10,3446.268576,344.6268576,13696.34287409,110,104,1,0,17,17,17,0,0,0,0,0.0008209,seven_point_per_channel
3,21,5,10,10,3362.154931,336.2154931,13085.77466842,116,109,2,0,17,17,17,0,0,0,0,0.0016254,seven_point_per_channel
3,22,0,14,14,3682.921865,263.0658475,15299.60932677,94,83,0,0,0,0,0,0,0,0,0,0.0012817,seven_point_per_channel
3,22,1,14,14,3898.229009,278.4449292143,16361.14505448,94,83,1,0,0,0,0,0,0,0,0,0.0010296,seven_point_per_channel
3,22,2,14,14,4120.6522,294.3323,17513.26099599,93,83,0,0,0,0,0,0,0,0,0,0.0010241,seven_point_per_channel
3,22,3,14,14,3682.921865,263.0658475,15299.60932677,94,83,0,0,0,0,0,0,0,0,0,0.0010061,seven_point_per_channel
3,22,4,14,14,3682.921865,263.0658475,15299.60932677,94,83,0,0,21,17,21,0,1098.576676537,121.5524828544,0,0.0039225,seven_point_per_channel
3,22,5,14,14,3417.125267,244.0803762143,14025.62633214,91,81,2,0,21,15,21,0,689.4918166535,192.0499051287,0,0.0049688,seven_point_per_channel
3,23,0,15,15,4160.677469,277.3784979333,17498.38734329,98,90,2,0,0,0,0,0,0,0,0,0.0006602,seven_point_per_channel
3,23,1,15,15,4535.406471,302.3604314,19372.03236895,98,90,2,0,0,0,0,0,0,0,0,0.0006531,seven_point_per_channel
3,23,2,15,15,4783.824157,318.9216104667,20614.12079264,98,90,2,0,0,0,0,0,0,0,0,0.0006429,seven_point_per_channel
3,23,3,15,15,4160.677469,277.3784979333,17498.38734329,98,90,2,0,0,0,0,0,0,0,0,0.00064,seven_point_per_channel
3,23,4,15,15,4160.677469,277.3784979333,17498.38734329,98,90,2,0,22,22,22,0,0,0,0,0.0033963,seven_point_per_channel
3,23,5,15,15,3890.805545,259.3870363333,16039.02772105,103,93,0,1,22,21,22,0,738.6953778658,33.57706263026,0,0.0051795,seven_point_per_channel
3,24,0,15,15,4022.465804,268.1643869333,17117.32901028,89,79,0,0,0,0,0,0,0,0,0,0.0014788,seven_point_per_channel
3,24,1,15,15,4354.767499,290.3178332667,18738.83751781,90,79,1,0,0,0,0,0,0,0,0,0.0014881,seven_point_per_channel
3,24,2,15,15,4693.464485,312.8976323333,20457.3224463,89,79,1,0,0,0,0,0,0,0,0,0.0014869,seven_point_per_channel
3,24,3,15,15,4022.465804,268.1643869333,17117.32901028,89,79,0,0,0,0,0,0,0,0,0,0.0014622,seven_point_per_channel
3,24,4,15,15,4022.465804,268.1643869333,17117.32901028,89,79,0,0,22,17,22,0,959.080092227,111.5451339586,0,0.0063647,seven_point_per_channel
3,24,5,15,15,3757.216071,250.4810714,15601.08036934,94,83,3,1,22,18,22,0,694.0413212755,43.14045658319,0,0.0056752,seven_point_per_channel
3,25,0,14,14,3554.307467,253.8791047857,14376.53734938,103,94,0,0,0,0,0,0,0,0,0,0.0008058,seven_point_per_channel
3,25,1,14,14,3765.369665,268.9549760714,15336.84833451,105,94,3,0,0,0,0,0,0,0,0,0.0008087,seven_point_per_channel
3,25,2,14,14,3865.923993,276.1374280714,15814.61997047,106,94,3,0,0,0,0,0,0,0,0,0.0008032,seven_point_per_channel
3,25,3,14,14,3554.307467,253.8791047857,14376.53734938,103,94,0,0,0,0,0,0,0,0,0,0.0008011,seven_point_per_channel
3,25,4,14,14,3554.307467,253.8791047857,14376.53734938,103,94,0,0,21,19,21,0,702.481304898,45.03673564659,0,0.0033382,seven_point_per_channel
3,25,5,14,14,3486.47233,249.0337378571,13607.36165282,117,110,0,0,21,21,21,0,0,0,0,0.000907,seven_point_per_channel
3,26,0,10,10,3673.552767,367.3552767,14687.76383905,115,111,0,0,0,0,0,0,0,0,0,0.0003507,seven_point_per_channel
3,26,1,10,10,3941.239985,394.1239985,16026.19992502,115,111,0,0,0,0,0,0,0,0,0,0.0003337,seven_point_per_channel
3,26,2,10,10,4123.009822,412.3009822,16935.04910218,115,111,0,0,0,0,0,0,0,0,0,0.0003269,seven_point_per_channel
3,26,3,10,10,3673.552767,367.3552767,14687.76383905,115,111,0,0,0,0,0,0,0,0,0,0.0003314,seven_point_per_channel
3,26,4,10,10,3673.552767,367.3552767,14687.76383905,115,111,0,0,17,17,17,0,0,0,0,0.0004847,seven_point_per_channel
3,26,5,10,10,3507.869335,350.7869335,13999.34667333,111,103,0,0,17,17,17,0,0,0,0,0.0008958,seven_point_per_channel
3,27,0,14,14,4078.920786,291.3514847143,17149.60393818,98,86,1,1,0,0,0,0,0,0,0,0.0008925,seven_point_per_channel
3,27,1,14,14,4336.980388,309.7843134286,18449.90194845,97,86,2,1,0,0,0,0,0,0,0,0.0008561,seven_point_per_channel
3,27,2,14,14,4506.300615,321.8786153571,19361.50309176,95,86,1,1,0,0,0,0,0,0,0,0.0008409,seven_point_per_channel
3,27,3,14,14,4078.920786,291.3514847143,17149.60393818,98,86,1,1,0,0,0,0,0,0,0,0.0008615,seven_point_per_channel
3,27,4,14,14,4078.920786,291.3514847143,17149.60393818,98,86,1,1,21,19,21,0,556.9838488506,33.94424482536,0,0.0062897,seven_point_per_channel
3,27,5,14,14,3893.781552,278.1272537143,16218.90776568,98,90,0,0,21,18,21,0,668.118944617,85.90139560237,0,0.0046903,seven_point_per_channel
