kind,date,baseline_yuan,main_yuan,saving_yuan
q4_2,2025-04-14,36387.664134708015,35177.7539410462,1209.9101936618172
q4_2,2025-04-15,37512.5047295338,36600.24020968994,912.2645198438622
q4_2,2025-04-16,38035.162705586205,37146.23257692574,888.9301286604677
q4_2,2025-04-17,35987.98955210091,35208.01314943873,779.9764026621779
q4_2,2025-04-18,11881.7578446169,11464.194371765585,417.56347285131415
q4_2,2025-04-19,13271.4356300978,12896.303691037214,375.13193906058586
q4_2,2025-04-20,35023.541368618404,34269.8180020365,753.7233665819003
q4_2,2025-04-21,35872.4291526554,35276.97960960355,595.4495430518509
q4_2,2025-04-22,37575.07262334268,36531.720976219076,1043.351647123607
q4_2,2025-04-23,36004.80635595898,35203.34529611663,801.461059842346
q4_2,2025-04-24,33261.79519056482,32340.886433455304,920.9087571095188
q4_2,2025-04-25,12178.26564297754,11816.421587098728,361.84405587881156
q4_2,2025-04-26,11737.434719479646,14010.76449579192,-2273.3297763122737
q4_2,2025-04-27,37990.16852899107,34628.806011644236,3361.3625173468317
q4_2,2025-04-28,54612.58050740612,52131.794550153376,2480.785957252745
q4_2,2025-04-29,34856.74211802095,33225.33206182673,1631.4100561942178
q4_2,2025-04-30,37557.86313947344,36287.81255690488,1270.0505825685614
q4_2,2025-05-01,45175.659809148,43944.43780679013,1231.2220023578702
q4_2,2025-05-02,22179.732925192697,22006.6060335265,173.12689166619748
q4_2,2025-05-03,17174.61269168562,17552.53825130782,-377.9255596221992
q4_2,2025-05-04,44532.84410251537,44143.37364652703,389.47045598834666
q4_2,2025-05-05,45881.08041664094,43348.215820559715,2532.8645960812282
q4_2,2025-05-06,44635.064044328195,47723.77321970723,-3088.7091753790373
q4_2,2025-05-07,50180.67248216876,49089.1628750103,1091.509607158463
q4_2,2025-05-08,40067.41403301477,40083.62414657588,-16.2101135611083
q4_2,2025-05-09,13443.236874856604,13648.363113923675,-205.12623906707086
q4_2,2025-05-10,15615.733124955244,15518.297488654149,97.43563630109566
q4_2,2025-05-11,37361.97528693109,36141.27010704242,1220.7051798886678
q4_2,2025-05-12,42533.71702650358,42453.19646821879,80.52055828479206
q4_2,2025-05-13,42031.70176593604,42511.64357030917,-479.9418043731275
q4_2,2025-05-14,40688.57989816311,40945.34643641441,-256.7665382513005
q4_2,2025-05-15,37269.39008420302,35964.99961870782,1304.3904654951984
q4_2,2025-05-16,13395.743728688834,13817.659108422029,-421.91537973319464
q4_2,2025-05-17,16140.653777626307,16001.927980136448,138.72579748985845
q4_2,2025-05-18,37721.207222064535,37569.8076642003,151.39955786423525
q4_2,2025-05-19,37661.44260344802,37218.72207292683,442.7205305211901
q4_2,2025-05-20,38250.844561857215,39518.09044547718,-1267.2458836199658
q4_2,2025-05-21,39555.668368367515,39142.459089397256,413.2092789702583
q4_2,2025-05-22,38652.55897623661,38572.92856349841,79.63041273819545
q4_2,2025-05-23,11678.912056206576,11418.758696232522,260.1533599740542
q4_2,2025-05-24,15371.648658656015,14995.385349102777,376.2633095532383
q4_2,2025-05-25,34984.95105887453,33825.63551056972,1159.3155483048104
q4_2,2025-05-26,38272.15417111953,41928.89526827242,-3656.741097152888
q4_2,2025-05-27,38946.65621948143,39603.59255758695,-656.9363381055155
q4_2,2025-05-28,38204.10907526144,36932.67307101846,1271.4360042429835
q4_2,2025-05-29,36121.90912962109,35807.84197320478,314.0671564163131
q4_2,2025-05-30,13849.906884733728,14117.086908688463,-267.1800239547356
q4_2,2025-05-31,14984.650282317964,14948.676928556662,35.97335376130104
q4_2,2025-06-01,100125.38699313796,90644.75832345558,9480.62866968238
q4_2,2025-06-02,88804.00984471841,86436.32943350567,2367.680411212743
q4_2,2025-06-03,60268.555514751686,60788.096035844865,-519.5405210931785
q4_2,2025-06-04,56429.516019219554,61044.125741944226,-4614.609722724672
q4_2,2025-06-05,64613.29112080981,67121.25115579247,-2507.960034982665
q4_2,2025-06-06,38658.39705693538,37669.90426998268,988.4927869526946
q4_2,2025-06-07,35609.62770072611,34496.16742961979,1113.4602711063199
q4_2,2025-06-08,60052.83543204701,60878.42539905287,-825.589967005857
q4_2,2025-06-09,62185.52634458738,62535.71871901762,-350.1923744302403
q4_2,2025-06-10,56638.80773003861,55184.434379830476,1454.3733502081304
q4_2,2025-06-11,58584.20221265683,58207.70979300157,376.49241965526016
q4_2,2025-06-12,62708.33446081975,63408.53709674213,-700.2026359223819
q4_2,2025-06-13,24831.84791870019,24332.142878720668,499.70503997952255
q4_2,2025-06-14,24839.23731900015,24976.395308311152,-137.1579893110029
q4_2,2025-06-15,55819.27593206646,54486.96964570194,1332.3062863645246
q4_2,2025-06-16,62512.00834029276,63470.640220890724,-958.6318805979608
