日期,1月固定候选,在线候选,在线当日费用_元,历史窗口内各候选费用_JSON
2025-08-26,affine_saa_mpc,affine_saa_mpc,55213.452654081775,"[1380605.1279227356, 1583891.7141935613, 1399361.4382302794, 1561301.3726242452, 1347919.1830741884, 1363289.8036000063]"
2025-08-27,affine_saa_mpc,affine_saa_mpc,55664.080148838795,"[1368521.0898313015, 1573191.9768036841, 1384924.3335990186, 1549535.798674345, 1334258.2987696584, 1349685.0868657534]"
2025-08-28,affine_saa_mpc,affine_saa_mpc,57109.74542556287,"[1356467.1825680805, 1565915.079052242, 1371942.0370966045, 1542637.3935388853, 1320385.4598943144, 1335842.9871361717]"
2025-08-29,affine_saa_mpc,affine_saa_mpc,24318.142399565386,"[1347175.7258652472, 1559120.1270648374, 1371173.759707464, 1538369.0557829384, 1311949.2254815926, 1329119.6874714023]"
2025-08-30,affine_saa_mpc,affine_saa_mpc,24431.56345812029,"[1345185.9035533513, 1559629.7934653538, 1369829.7985320475, 1538850.8269176444, 1310088.3986357504, 1327272.1822084263]"
2025-08-31,affine_saa_mpc,affine_saa_mpc,56094.12324039895,"[1344073.495765824, 1560717.659486304, 1369217.7018259768, 1539976.3720721018, 1309184.4547108663, 1326592.6716750353]"
2025-09-01,affine_saa_mpc,affine_saa_mpc,49977.817183149135,"[1340233.721393473, 1559687.2874139766, 1365071.7527794715, 1540621.815775126, 1306046.6011642877, 1322690.767565419]"
2025-09-02,affine_saa_mpc,affine_saa_mpc,49513.18959017296,"[1331848.0385046212, 1548278.5902382112, 1358045.6260340759, 1531384.0480714915, 1297547.132520882, 1314170.840150396]"
2025-09-03,affine_saa_mpc,affine_saa_mpc,51021.968828814686,"[1324254.7306503803, 1542732.0924400408, 1350361.9532064998, 1525188.7619499338, 1290137.1312869466, 1306713.109196714]"
2025-09-04,affine_saa_mpc,affine_saa_mpc,50573.30896181232,"[1318296.3833967077, 1522815.9514390896, 1338570.3410187936, 1505232.2116290084, 1284336.0227092882, 1299898.6349411616]"
