日期,1月固定候选,在线候选,在线当日费用_元,历史窗口内各候选费用_JSON
2025-07-04,affine_saa_mpc,baseline,44383.56289405894,"[1378543.3132588225, 1551155.4864647747, 1414459.1062001868, 1560128.109499779, 1389495.225579773, 1395638.6415042414]"
2025-07-05,affine_saa_mpc,baseline,46874.19115740239,"[1381013.1293589815, 1549507.9046559038, 1417687.540654865, 1559521.627188539, 1391874.8761900796, 1397789.8008499434]"
2025-07-06,affine_saa_mpc,baseline,91205.75153837891,"[1399101.7294058115, 1558084.5191585652, 1430905.0445985661, 1569954.3513687653, 1409431.6674502592, 1414746.1148082425]"
2025-07-07,affine_saa_mpc,baseline,58172.8113980983,"[1433939.1237378467, 1597498.6888142528, 1462703.6244449867, 1609722.5903324028, 1444690.7074896654, 1450182.4093754853]"
2025-07-08,affine_saa_mpc,baseline,58907.29599076557,"[1436531.2149880463, 1604471.469004157, 1465559.429022528, 1617505.0348485091, 1442176.1084047356, 1450241.580079516]"
2025-07-09,affine_saa_mpc,baseline,58435.68446197976,"[1439603.893109999, 1609374.498513278, 1469142.4520606438, 1621961.9425316977, 1445159.191583369, 1453224.6632581495]"
2025-07-10,affine_saa_mpc,baseline,58949.214782733296,"[1441783.6620396085, 1596223.1509998892, 1467876.9037551235, 1609353.028049874, 1447361.3764150678, 1455422.9855678359]"
2025-07-11,affine_saa_mpc,baseline,30538.327349048264,"[1443280.514818263, 1597285.3839050638, 1469368.9872356243, 1610815.5507304785, 1448853.4598955687, 1456915.0690483367]"
2025-07-12,affine_saa_mpc,baseline,30442.611639082905,"[1447465.888903896, 1600600.3789228182, 1473938.89381054, 1613800.9513148419, 1453238.8830187405, 1461300.4921715087]"
2025-07-13,affine_saa_mpc,baseline,58902.537628373306,"[1451516.2910794546, 1607112.6086548243, 1478390.1359524825, 1620508.8362927327, 1457505.2168879746, 1465566.826040743]"
2025-07-14,affine_saa_mpc,baseline,57859.111566368214,"[1453306.8236896885, 1607605.668677365, 1480101.3270479576, 1620825.6959091767, 1459216.4079834498, 1467278.0171362178]"
