date,planned_cost,increase_cost,reduction_net_cost,emergency_cost,total_cost,emergency_energy,spill_energy,ending_inventory,projection_count,planned_energy,adjusted_energy
2025-04-08,41384.11894511052,8.423512554145418e-13,-2225.4086501453976,100.99144976964801,39259.70174473477,21.55403900750632,2991.3424546074975,8022.358901797317,0,68216.383211832,61304.44622841206
2025-04-09,41553.03704550829,6.558167342518572e-13,-1246.8670040120621,5.874329644939279e-11,40306.17004149628,1.7195134205394424e-11,1829.093764659127,8331.956202321808,0,68476.54242090252,65198.44475539448
2025-04-10,35093.41195588706,521.3972353538918,-569.7156155198679,5.849108397626424e-11,35045.09357572114,1.6923351608966186e-11,1718.2874448270313,3411.262575819245,0,55621.86016425719,54477.43086223515
2025-04-11,12979.646588342488,514.2098075926314,-5.064748620497994e-14,3.485942912107021e-11,13493.856395935156,8.37019342725398e-12,19127.39160617096,2912.0586986491585,0,26257.471289591023,26649.915789366776
2025-04-12,17149.668227257054,2.66905431089981e-13,-271.2658886258944,3.186634156548962e-11,16878.40233863119,7.952749569994921e-12,15721.527855769757,8670.45777475739,0,34418.10295391397,33797.59046016144
2025-04-13,37862.605956388914,211.43101817696578,-1271.1907939437306,8.5053408760416e-11,36802.84618062223,2.1147528173059982e-11,410.62213925158346,8947.00790923834,0,62949.84697760413,58894.0759620645
2025-04-14,37949.258937625564,710.5613235162194,-2439.7935847518893,848.5861255039752,37068.61280189386,139.34633704806825,630.8203983487892,8247.164059193214,0,62497.552989377255,56076.65432218375
2025-04-15,34709.09408985591,383.01996087940176,-430.79669200672504,6.592867940469205e-11,34661.31735872866,1.709743457922741e-11,2554.8536927207897,8455.569705542872,0,58119.451556181964,56594.298553624816
2025-04-16,36913.18218533395,920.7871325625075,-455.9552619217425,6.362669735526794e-11,37378.01405597477,1.8452184225026258e-11,1828.6433644158967,8414.230927674882,0,61970.404393411656,61362.84905649309
2025-04-17,32183.458680992568,1070.0897261769567,-405.1353560464521,8.43477096501566e-11,32848.41305112316,2.422784195488248e-11,2.025077306017934,3319.592213984034,0,50649.65373705704,51125.66945545177
2025-04-18,13602.889380904644,2.2433122026654928e-13,-57.313854643249634,3.780858115476349e-11,13545.575526261431,9.411138535142527e-12,17852.060674989752,3449.9453107344198,0,27149.32855218488,27019.428822442234
2025-04-19,15022.857347714802,773.5593525755737,-3.1538667759838845,2.1023652152507565e-11,15793.262833514415,6.195932655828074e-12,17336.294301563892,8343.142839497617,0,31697.489888293137,32249.899248510137
2025-04-20,36613.299420686526,7.939309529797337,-589.6470028174189,5.922562951177212e-11,36031.59172739896,1.836264473809024e-11,2743.313645612644,8761.284426315939,0,61368.24115647757,59027.14580549773
2025-04-21,35205.19121151368,5.54427970200777e-13,-1120.4943805747382,4.5214164856588465e-11,34084.69683093898,1.3301360013429075e-11,2737.181456235681,8238.96624833685,0,58101.40999066629,54432.516529293636
2025-04-22,34318.63119048518,451.28580074095805,-155.48738205548526,7.785648836744486e-11,34614.42960917074,2.2742696614841407e-11,643.818759908896,8721.164213177688,0,56741.64337317846,56876.23077431532
2025-04-23,31236.98318204659,3084.95103810375,-10.989392509612564,8.020505237738007e-11,34310.94482764081,2.2465584947894968e-11,630.733214710514,8493.272006173242,0,51749.58953181008,55442.085517029744
2025-04-24,31174.56977598225,730.2875110349484,-499.8150955094574,5.034848982177209e-11,31405.042191507793,1.5660361896152608e-11,4815.788147938374,2528.3471049713944,0,50507.83573569544,49139.22393759901
2025-04-25,12894.226344689283,2.553179001552053e-13,-168.19335828444636,2.2427158796745062e-11,12726.03298640486,5.3717030823463574e-12,21111.88318526661,2309.5926932078346,0,25793.78816343507,25436.36330107018
2025-04-26,15930.328801120988,1.764561829986633e-13,-0.03495168367818834,2.8726759637720532e-11,15930.293849437337,7.30437932361383e-12,23500.50936235431,8636.669287309092,0,33141.23126599817,33141.06639956572
2025-04-27,32678.22431944342,940.5337827579702,-411.8383778083605,1062.893269764791,34269.812994157815,224.47873829794327,1889.4548293165822,8560.773073709152,0,54413.922774780774,53994.80043894994
2025-04-28,38151.43499342963,1083.2375990538799,-930.970093610324,7.047678707294835e-11,38303.70249887326,2.1302071218087804e-11,2338.9613804502524,8226.034317131485,0,63932.39493625265,62411.27536382573
2025-04-29,34507.12303797726,757.1646251314293,-772.8772248043515,6.291665499702503e-11,34491.4104383044,1.91562321560923e-11,4659.330102185948,8153.838382945689,0,57888.578647816015,55516.699944312044
2025-04-30,33020.49364317668,2.1618973278236807e-13,-320.871881411496,7.386401534859033e-11,32699.62176176525,2.1103119252074976e-11,1534.3696194591987,8505.156995332803,0,54329.639651480626,53727.341217898196
2025-05-01,31236.449185393823,733.3380293823008,-499.0971459076998,7068.638544497869,38539.32861336629,1162.0411286576827,2236.664822895614,1313.3906141844102,0,49115.598914704155,48063.043667221165
2025-05-02,14404.673667838513,523.1220485082408,-2.1647591829521002,6257.971425066448,21183.60238223025,1108.787809289208,12554.493839201881,1778.1402499388767,0,28853.88140845884,29155.596077800605
2025-05-03,16782.505427668737,123.7192135999237,-3.732871789452474e-14,5582.878963626496,22489.103604895157,1073.502860541281,16880.72759806185,8158.713839178855,0,34485.547656887975,34561.77834670374
2025-05-04,37249.093127006345,316.778561207927,-1941.4889637595159,4993.605988576906,40617.988713031664,859.8062683861014,1725.1238952941471,7362.364831554364,0,61793.225668084924,55138.65134993935
2025-05-05,37377.984657810535,624.5629666440989,-1194.7106175882652,4549.488710197319,41357.32571706368,703.6039778141649,96.77299868850275,7515.923086046997,0,61270.85641346573,58420.77052208203
2025-05-06,33673.211285886275,2097.5505331996,-322.31247558708037,5114.271669431013,40562.721012929804,873.2576865207255,993.43115625847,7290.146482238957,0,55703.144204040385,56588.71237540648
2025-05-07,35226.86251476593,1103.9215256202713,-7.6062522921281035,5571.30962311234,41894.48741120641,911.897077810646,1041.6801496584312,7609.110724677403,0,58624.21315426324,59443.18113372129
2025-05-08,39390.044678474085,2.352472161181302,-1564.907438149613,42.45980617613784,37869.949518661786,6.284290117102168,2526.885654007255,3179.610513015715,0,62857.28207476198,57048.42871267526
2025-05-09,15964.850007820463,3.847162588499486e-14,-5.198278606292156,2.7767669052991552e-11,15959.651729214198,5.8264504332328215e-12,17976.78890115313,3270.0,0,29104.594690220736,29085.7299922037
2025-05-10,17914.827581348683,234.61038239586304,0.0,2.611708538324819e-11,18149.43796374457,7.204903340607416e-12,13739.589466948828,8669.374219534542,0,34480.18993654052,34652.14916931112
2025-05-11,37757.49286724972,348.2824183917066,-325.24691449543076,25.64296082675122,37806.17133197275,3.803747063237468,1461.0214784453738,8657.749902829615,0,61236.569685000824,60438.58340477374
2025-05-12,36479.72872559807,585.3937642700097,-245.16961754007303,5.859075358216615e-11,36819.95287232807,1.5283774246199755e-11,2627.3462045836177,8910.0,0,58614.435455969855,57980.16860095822
2025-05-13,41186.72928450389,331.00771931778723,-2028.1944506331383,5.5437329393726036e-11,39489.54255318859,1.4789947044846485e-11,3961.478343287591,8820.0,0,66972.92852809659,60451.35496890817
2025-05-14,41316.47478494537,7.353264663834125e-13,-2036.581968063657,7.15268573259209e-11,39279.89281688179,1.9451107391432743e-11,2229.794873598168,9630.0,0,65582.93197862933,59436.77212223925
2025-05-15,36179.404359092725,879.5469442779897,-1257.6208941571708,7.14924981437548e-11,35801.33040921362,1.858246889696602e-11,2712.076358628701,3630.0,0,54669.41329145855,52252.907234447106
2025-05-16,15443.32407832343,2.227125150966458e-13,-85.37074566331009,170.26744910001034,15528.220781760134,41.706266666670345,23000.992843886575,2922.2986204823956,0,27518.917719036537,27345.90659299541
2025-05-17,18856.32552979175,0.0,-237.4243294077547,3.122441682990029e-11,18618.90120038403,6.3806737671257e-12,15530.890982525052,8850.0,0,35486.21672187579,34959.968848658755
2025-05-18,41746.4873463864,12.129347586322044,-2037.271277804132,5.5846700597328434e-11,39721.345416168646,1.7715606759338698e-11,3628.460916017196,8850.0,0,67551.52834892567,60652.45635477376
2025-05-19,36449.31214295877,4.3234962276983424e-13,-672.2106953373163,306.7307919770548,36083.832239598516,45.47865549367823,6304.026364259704,8385.069177842934,0,59329.82522836393,56631.03826315167
2025-05-20,36147.26952763855,575.3135063523214,-164.3784980687399,9.280505075537349e-11,36558.204535922225,2.4703794565539283e-11,1364.3031318128337,8420.186167579144,0,59308.62639653228,59341.695248198805
2025-05-21,36540.520513485,258.457211391925,-153.91016297828804,5.961376814411778e-11,36645.06756189869,1.666933258093195e-11,3214.9606480526154,8717.407273025783,0,58493.989016722335,58205.80593526806
2025-05-22,35160.0174458284,2.914362084993627e-13,-872.4193131213533,5.858326801444492e-11,34287.59813270711,1.8388846001471393e-11,3374.4257968805177,3240.0,0,53932.77373305311,51475.08965476368
2025-05-23,14187.535170397023,716.9107642421264,-7.225366971397307e-14,2.3091430989552463e-11,14904.44593463917,5.144329406903125e-12,18561.438625262665,2790.0,0,26441.009396146626,26961.842378163732
2025-05-24,18410.325893046396,0.0,-131.67853244620838,2.369898055576413e-11,18278.64736060021,5.8975047068088315e-12,21367.32665133759,9536.738927562248,0,35112.64097227103,34840.1181580078
2025-05-25,36072.33326186562,5.638923994411017e-13,-679.906553960873,4.8869637225834594e-11,35392.42670790479,1.2818190953112207e-11,5217.641634995217,8705.255556850845,0,59283.00154018419,56257.152132303556
2025-05-26,36970.959616034495,1549.826251181036,-264.0199151025933,7.166916482503893e-11,38256.76595211301,1.808686533877335e-11,2321.9429946067467,8790.0,0,58804.8048781834,60468.8525631539
2025-05-27,35636.435536260906,209.45397423532918,-284.2899606373745,4.6020719679518153e-11,35561.5995498589,1.6217249765304587e-11,3048.928572698305,9030.0,0,56210.056844241,56007.72662801938
2025-05-28,38513.92991866402,6.327013579721097e-13,-1071.6053442621505,6.560729559623723e-11,37442.32457440194,1.7124079931818414e-11,3165.638954293694,8963.63945855071,0,63112.52004095961,58929.9800129177
2025-05-29,34293.115541660605,863.8292990748157,-396.92014422931504,6.868139657001393e-11,34760.024696506174,2.1808332917316875e-11,2672.444167385669,2877.229071937937,0,54378.59947614026,53624.18765853827
2025-05-30,16024.037761043133,0.0,-13.205144129617823,3.0182413013335466e-11,16010.832616913545,7.190692485892214e-12,19353.082367428837,3060.0,0,28522.844333923043,28492.701710599067
2025-05-31,19921.291989253477,0.0,-484.74210646381584,2.428143375254876e-11,19436.549882789688,5.5138116294983774e-12,18779.249579773925,8893.775925925926,0,37262.23789327615,36171.46424327197
2025-06-01,48844.80727690304,3463.617658841802,-2779.009606640572,7150.5702887690095,56679.98561787329,1503.61096865752,1178.2378760138783,6990.188608077663,0,77855.77941071976,72783.53818075967
2025-06-02,48545.76290176599,3455.5089510021303,-2554.4657277464003,6109.698661240566,55556.50478626228,1294.5434586182546,1177.2813212917547,6632.819262349187,0,78439.08829490996,72089.26689419623
2025-06-03,45750.078109290946,3445.4827329462973,-493.67461272027106,3023.9564035979733,51725.84263311494,612.5315367402229,1909.8907666478478,7337.944558337827,0,74109.35542033448,74202.23044311517
2025-06-04,53102.035118731714,254.9660434886461,-3657.0595185763323,2120.410846942107,51820.352490586134,466.031386695361,851.0790082729834,7324.2391232185355,0,84693.17789816174,73966.47458463549
2025-06-05,43335.954381947144,3034.7044827421473,-497.5525791253045,3734.4128567127045,49607.51914227669,732.5538045235329,648.8953073015479,1209.8209576905915,0,68447.56611782694,68280.15689180592
2025-06-06,19857.235350349052,3307.5206492747216,-652.3787894924532,4678.390931768863,27190.768141900186,967.5362649488391,2570.865252917262,1322.2624761913253,0,35244.427594329696,35449.989245631834
2025-06-07,22898.048776890915,2760.91030749686,-149.02566460333955,2833.963155056737,28343.896574841172,479.73375773530415,4848.956092046389,7201.689780256926,0,44575.98094014857,45457.37777195956
2025-06-08,50017.581289011345,1148.5940935392475,-1767.638929739594,6.901221283328597e-11,49398.536452811066,1.5567991340503795e-11,3666.9381783780877,9540.0,0,79824.88302992916,74981.34880549395
2025-06-09,55149.62757432121,7.526523404521868e-13,-2313.35133386072,30.77752379381797,52867.05376425431,4.571145669665196,4824.663355142804,9119.081276132865,0,85459.23678518602,79525.32946157415
2025-06-10,51467.152626214265,3.943000592698809e-13,-946.7611333144417,132.77686634718896,50653.16835924702,19.65172298486646,3013.354829115432,8494.193009730165,0,80417.86038678142,78150.8894802894
2025-06-11,53463.551925607455,2408.696166659284,-734.907368299438,7.080490949107343e-11,55137.34072396736,1.943423200145844e-11,2481.133808299828,9374.398803745013,0,83543.50124635876,84062.48286203333
2025-06-12,50526.21237321652,18.62129481739076,-707.21914563873,4.900438455024414e-11,49837.61452239523,1.2597922705026576e-11,3476.1787775839957,5070.0,0,76824.68009060863,75200.24482348246
2025-06-13,23148.44911843868,1.984759023798688e-13,-220.08245079075857,80.96211905835293,23009.328786706275,13.859816666671557,7157.48489249197,4270.052096057295,0,37932.747481938546,37555.93776719432
2025-06-14,26404.706398135986,2.508926399968914e-13,-677.7436965992524,2.1469958255693198e-11,25726.962701536755,5.8548721426632255e-12,9466.188850190347,9060.0,0,45248.377130093024,43886.10453744136
2025-06-15,49503.577797912934,458.6237581578989,-498.3188728100349,6.311638944822561e-11,49463.882683260854,1.6366463739814208e-11,2210.8874452629625,9252.414368794767,0,77541.56370896223,77286.24584242876
2025-06-16,50946.35837006552,512.6434612925672,-170.60141287819624,5.499746791315374e-11,51288.40041847995,1.6196821661651484e-11,4010.3162630427087,8460.0,0,80031.75649876264,80044.40276671204
2025-06-17,52776.14421755298,822.5875971341667,-305.1722139953955,5.532527413976141e-11,53293.55960069179,1.4945378268294007e-11,3694.3958717833975,9030.0,0,82788.77194650428,83301.29818608926
2025-06-18,54087.91385972911,40.252688172454704,-1663.5327197693277,188.22173356308247,52652.85556169532,27.916254601661183,5545.0941563276465,8961.808642098653,0,84752.06165438575,80256.7027759747
2025-06-19,46520.3395790121,2438.364967685512,-1726.4892737349762,215.91797365168324,47448.13324661432,32.118701919186144,2568.42298557716,3237.60142729618,0,71219.020728842,68851.57993746796
2025-06-20,21592.971130096743,1.667572746555379e-14,-228.67496854710245,1.9255296024311974e-11,21364.29616154966,5.4853899200679734e-12,9450.258375361616,3889.4681949469586,0,35465.898271693375,35121.81922684407
2025-06-21,25412.79676084955,3.794575320625881e-13,-206.05596489940177,1.5153176491367048e-11,25206.740795950158,3.979039320256561e-12,15872.092969925776,9450.0,0,44297.51066796704,43976.627449466105
2025-06-22,47040.088804841565,1248.5501209642161,-1080.128927487909,6.253020146118615e-11,47208.50999831794,1.765698698363849e-11,1869.7710937586291,9255.27643648637,0,75751.81378640377,73131.13009052502
