kind,date,emergency,kwh,cost_yuan
q4_3,2025-04-08,False,1.5846601808533478e-11,6.776690089638215e-11
q4_3,2025-04-09,False,1.5234036254696548e-11,5.554223037051997e-11
q4_3,2025-04-10,False,1.1153744594594173e-11,3.996075115253461e-11
q4_3,2025-04-11,False,1.1240786079724785e-11,3.182497465559209e-11
q4_3,2025-04-12,False,9.258371846954105e-12,2.5839916872882895e-11
q4_3,2025-04-13,False,1.886668599127006e-11,6.29205665347854e-11
q4_3,2025-04-14,True,108.58115235069377,680.9658766799719
q4_3,2025-04-15,False,1.3629986028718122e-11,5.839698768994595e-11
q4_3,2025-04-16,False,1.3961554135022425e-11,5.0369382609272154e-11
q4_3,2025-04-17,False,1.9168777676270565e-11,6.908398919591719e-11
q4_3,2025-04-18,False,8.327560863108374e-12,2.393242937159812e-11
q4_3,2025-04-19,False,8.071765478234738e-12,1.957769768523576e-11
q4_3,2025-04-20,False,1.49000811688893e-11,5.460583807348485e-11
q4_3,2025-04-21,False,1.432454155292362e-11,4.7976769224078453e-11
q4_3,2025-04-22,False,1.5758061522319622e-11,5.618501131010589e-11
q4_3,2025-04-23,False,1.8991030970028078e-11,7.019319792078704e-11
q4_3,2025-04-24,False,1.2590817277668975e-11,3.938680492865387e-11
q4_3,2025-04-25,False,5.258016244624741e-12,1.7390078710377563e-11
q4_3,2025-04-26,False,6.821210263296962e-12,2.1934511096333152e-11
q4_3,2025-04-27,True,204.53321875734844,999.7667408831066
q4_3,2025-04-28,False,1.666933258093195e-11,5.695101634728416e-11
q4_3,2025-04-29,False,1.0686562745831907e-11,3.7417663634187194e-11
q4_3,2025-04-30,False,1.743671873555286e-11,5.924317036942739e-11
q4_3,2025-05-01,True,1814.1122949398468,8335.189340959843
q4_3,2025-05-02,True,1087.0234086530895,5303.291452456852
q4_3,2025-05-03,True,1057.3442449202316,4354.829754569965
q4_3,2025-05-04,True,940.7254911781539,5510.659945769719
q4_3,2025-05-05,True,710.0297730992767,4300.717142228822
q4_3,2025-05-06,True,880.8293088278303,4823.017407033259
q4_3,2025-05-07,True,867.1116948606643,5344.983306382748
q4_3,2025-05-08,False,1.4390266755981429e-11,5.429330496298235e-11
q4_3,2025-05-09,False,5.4569682106375694e-12,2.0533690303636832e-11
q4_3,2025-05-10,False,1.1574741165532032e-11,3.402116277584355e-11
q4_3,2025-05-11,False,2.084643568878164e-11,7.096518928051409e-11
q4_3,2025-05-12,False,1.5301537814593758e-11,5.968028560232596e-11
q4_3,2025-05-13,False,1.3141487897883053e-11,5.637326516705343e-11
q4_3,2025-05-14,False,1.7921664152709127e-11,6.799559404413457e-11
q4_3,2025-05-15,False,1.9804602402473392e-11,7.096327792055491e-11
q4_3,2025-05-16,True,41.70626666667256,117.55369896669093
q4_3,2025-05-17,False,9.180212146020494e-12,3.362295331044152e-11
q4_3,2025-05-18,False,1.5214496329463145e-11,5.205563180510353e-11
q4_3,2025-05-19,False,1.432187701766452e-11,5.2842572095812557e-11
q4_3,2025-05-20,False,1.8836487925000256e-11,7.365352772126244e-11
q4_3,2025-05-21,False,1.502797886132612e-11,5.283659731958323e-11
q4_3,2025-05-22,False,9.833911462919787e-12,3.9961406628208346e-11
q4_3,2025-05-23,False,5.4569682106375694e-12,2.017637257267779e-11
q4_3,2025-05-24,False,3.680611371237319e-12,1.4778038348595147e-11
q4_3,2025-05-25,False,1.2107648217352107e-11,3.758768585271354e-11
q4_3,2025-05-26,False,1.5136336628529534e-11,5.3294158419703314e-11
q4_3,2025-05-27,False,1.0817124973527825e-11,3.880601262551409e-11
q4_3,2025-05-28,False,1.4154011296341196e-11,6.108639638569001e-11
q4_3,2025-05-29,False,1.9454660105111543e-11,7.095758292052778e-11
q4_3,2025-05-30,False,5.5138116294983774e-12,1.9108526316813368e-11
q4_3,2025-05-31,False,4.547473508864641e-12,1.4298791484179674e-11
q4_3,2025-06-01,True,1871.649097270541,8227.964149379532
q4_3,2025-06-02,True,1496.3926500365649,6998.756811248385
q4_3,2025-06-03,True,316.6932798983032,1601.0497081556239
q4_3,2025-06-04,True,410.4900467807646,2063.1634445527907
q4_3,2025-06-05,True,1307.8519004913558,5214.15155852002
q4_3,2025-06-06,True,2341.24108021217,6846.280875442035
q4_3,2025-06-07,True,653.9172434677178,3360.6504053523468
q4_3,2025-06-08,False,1.4836132322670892e-11,6.466972735097443e-11
q4_3,2025-06-09,True,4.2042552169805365,29.2490035445057
q4_3,2025-06-10,False,1.4296119843493216e-11,6.211972536362964e-11
q4_3,2025-06-11,False,1.0061285138363019e-11,4.906242878632838e-11
q4_3,2025-06-12,False,1.396749382820417e-11,5.855512341668145e-11
q4_3,2025-06-13,True,13.859816666674002,66.19448440003032
q4_3,2025-06-14,False,3.353761712787673e-12,1.1136506827824633e-11
q4_3,2025-06-15,False,1.5448087253844278e-11,6.765643867367998e-11
q4_3,2025-06-16,False,1.0881961998165934e-11,5.287937554498967e-11
